iter	Logloss
0	0.6911983574
1	0.6892670559
2	0.6873010678
3	0.6850527975
4	0.6833160444
5	0.6814280149
6	0.6793936671
7	0.6776276909
8	0.6761254015
9	0.6740307468
10	0.6723608675
11	0.6707412647
12	0.6692692894
13	0.6675749861
14	0.6659534049
15	0.6645365389
16	0.6636298086
17	0.6625229106
18	0.6613611434
19	0.6601715416
20	0.6587839124
21	0.657428285
22	0.6563591872
23	0.6547838241
24	0.6532563144
25	0.652102978
26	0.6512830776
27	0.6502494393
28	0.6492870206
29	0.6480346083
30	0.647088542
31	0.6458730925
32	0.6447616018
33	0.6438067043
34	0.6427578079
35	0.64166822
36	0.6404840375
37	0.639468331
38	0.6386010968
39	0.6374663111
40	0.6364918383
41	0.6356783633
42	0.6348702624
43	0.6339018688
44	0.6329928749
45	0.6322672716
46	0.6315213937
47	0.6309468898
48	0.6300270446
49	0.6293066435
50	0.6284601089
51	0.6276530268
52	0.6265272442
53	0.6258238903
54	0.6250752667
55	0.6239590938
56	0.6231523672
57	0.6225626414
58	0.6219770163
59	0.6215212394
60	0.6208232801
61	0.6201879419
62	0.6197937568
63	0.6189879705
64	0.6183927123
65	0.6176359332
66	0.6169768832
67	0.6166252605
68	0.6159701952
69	0.615355666
70	0.6150852934
71	0.6144710601
72	0.6138849701
73	0.6132442165
74	0.6123802572
75	0.6117997718
76	0.6112412482
77	0.610699639
78	0.6102122904
79	0.6097405444
80	0.6090165364
81	0.6086504985
82	0.6082409058
83	0.6078158252
84	0.6071566856
85	0.6066062527
86	0.6061840626
87	0.6054689694
88	0.605174443
89	0.6045788365
90	0.6040425641
91	0.6034164915
92	0.602947839
93	0.602471866
94	0.6021841777
95	0.6015165387
96	0.6007922752
97	0.6003792906
98	0.5999073192
99	0.5994551543
100	0.5991812247
101	0.5985836518
102	0.5982402587
103	0.5978758279
104	0.5974797192
105	0.5972600219
106	0.5968940925
107	0.5964912648
108	0.5961680023
109	0.5957981294
110	0.5952344326
111	0.59490334
112	0.5943764595
113	0.5938658722
114	0.5934605051
115	0.5930030916
116	0.5924590701
117	0.5920474407
118	0.5914835284
119	0.5910937181
120	0.5907620843
121	0.5902998996
122	0.5898304668
123	0.5894525585
124	0.5891170782
125	0.5889124381
126	0.5885861067
127	0.5879345161
128	0.5875665389
129	0.5871298195
130	0.5866596402
131	0.5864218897
132	0.5861376278
133	0.58566903
134	0.5854414976
135	0.5850859502
136	0.5845326763
137	0.5841328581
138	0.5839098073
139	0.5835734841
140	0.5831557132
141	0.5827837079
142	0.5823391866
143	0.5819671439
144	0.5816015538
145	0.5813750722
146	0.581001227
147	0.5806793687
148	0.5803150492
149	0.5800376937
150	0.5795841217
151	0.5790567547
152	0.5785589074
153	0.578162779
154	0.5777761836
155	0.5772286115
156	0.5769075804
157	0.5765008134
158	0.5760276673
159	0.5755965831
160	0.5753545252
161	0.5750403928
162	0.574835027
163	0.5745810265
164	0.574271075
165	0.5740507345
166	0.5737636204
167	0.5732411693
168	0.5727979461
169	0.572470144
170	0.5722275833
171	0.5718772439
172	0.5715898433
