iter	Passed	Remaining
0	33	33284
1	61	30676
2	89	29807
3	116	28992
4	143	28474
5	169	28053
6	194	27649
7	219	27264
8	245	26987
9	271	26897
10	297	26715
11	322	26570
12	349	26567
13	376	26525
14	402	26403
15	427	26304
16	457	26455
17	488	26634
18	515	26591
19	542	26573
20	568	26493
21	594	26413
22	619	26311
23	644	26221
24	670	26151
25	696	26085
26	722	26033
27	748	25985
28	773	25909
29	800	25871
30	826	25822
31	851	25769
32	876	25695
33	903	25658
34	929	25628
35	955	25586
36	980	25530
37	1007	25503
38	1033	25475
39	1059	25432
40	1086	25403
41	1112	25382
42	1138	25336
43	1164	25292
44	1191	25285
45	1217	25245
46	1242	25202
47	1268	25162
48	1295	25138
49	1322	25119
50	1349	25116
51	1376	25099
52	1404	25099
53	1433	25108
54	1463	25146
55	1492	25152
56	1524	25218
57	1553	25237
58	1582	25242
59	1611	25240
60	1639	25241
61	1668	25236
62	1698	25266
63	1728	25273
64	1756	25266
65	1785	25268
66	1814	25266
67	1844	25282
68	1872	25271
69	1900	25248
70	1928	25230
71	1957	25226
72	1986	25223
73	2014	25213
74	2044	25214
75	2073	25212
76	2102	25197
77	2129	25176
78	2163	25218
79	2208	25402
80	2238	25401
81	2271	25432
82	2301	25430
83	2331	25426
84	2363	25437
85	2394	25447
86	2492	26156
87	2578	26720
88	2610	26723
89	2664	26940
90	2717	27145
91	2754	27185
92	2780	27119
93	2805	27044
94	2831	26971
95	2857	26909
96	2883	26842
97	2909	26775
98	2934	26711
99	2961	26650
100	2986	26582
101	3012	26522
102	3037	26452
103	3064	26398
104	3092	26356
105	3118	26303
106	3145	26248
107	3170	26189
108	3197	26136
109	3225	26099
110	3252	26050
111	3279	25997
112	3305	25943
113	3329	25879
114	3355	25826
115	3381	25772
116	3407	25718
117	3433	25666
118	3459	25612
119	3484	25555
120	3510	25498
121	3535	25444
122	3561	25396
123	3588	25353
124	3616	25313
125	3642	25263
126	3670	25228
127	3700	25207
128	3729	25184
129	3758	25150
130	3787	25121
131	3814	25084
132	3842	25049
133	3870	25013
134	3899	24983
135	3927	24949
136	3955	24919
137	3985	24896
138	4015	24872
139	4044	24842
140	4075	24827
141	4104	24803
142	4138	24804
143	4171	24798
144	4206	24804
145	4240	24801
146	4273	24796
147	4304	24780
148	4337	24773
149	4368	24756
150	4401	24746
151	4436	24751
152	4470	24749
153	4500	24725
154	4531	24703
155	4561	24681
156	4590	24648
157	4618	24611
158	4647	24584
159	4676	24549
160	4704	24515
161	4733	24484
162	4763	24459
163	4791	24427
164	4820	24392
165	4848	24359
166	4877	24326
167	4905	24295
168	4933	24259
169	4963	24231
170	4991	24199
171	5020	24170
172	5050	24143
173	5087	24150
174	5122	24147
175	5154	24132
176	5185	24112
177	5215	24083
178	5243	24049
179	5274	24026
180	5303	23995
181	5331	23960
182	5361	23935
183	5390	23903
184	5418	23871
185	5446	23837
186	5475	23807
187	5504	23774
188	5533	23745
189	5562	23713
190	5590	23680
191	5619	23649
192	5648	23618
193	5677	23587
194	5706	23557
195	5735	23527
196	5764	23495
197	5793	23467
198	5822	23436
199	5850	23402
200	5879	23371
201	5909	23345
202	5937	23311
203	5965	23277
204	5994	23247
205	6022	23212
206	6050	23180
207	6079	23147
208	6109	23121
209	6138	23092
210	6167	23063
211	6197	23034
212	6225	23002
213	6253	22969
214	6281	22936
215	6312	22911
216	6342	22886
217	6371	22854
218	6399	22822
219	6429	22795
220	6458	22764
221	6486	22732
222	6515	22702
223	6545	22676
224	6575	22650
225	6620	22674
226	6653	22657
227	6685	22638
228	6718	22621
229	6752	22607
230	6783	22580
231	6815	22560
232	6846	22537
233	6878	22517
234	6909	22492
235	6941	22470
236	6972	22448
237	7002	22420
238	7032	22391
239	7061	22362
240	7091	22332
241	7123	22311
242	7155	22291
243	7193	22288
244	7229	22277
245	7264	22265
246	7299	22253
247	7334	22239
248	7366	22216
249	7475	22427
250	7556	22548
251	7586	22518
252	7612	22475
253	7639	22436
254	7671	22411
255	7697	22370
256	7724	22330
257	7750	22288
258	7775	22244
259	7800	22200
260	7826	22158
261	7852	22119
262	7878	22076
263	7905	22038
264	7932	22000
265	7958	21960
266	7982	21915
267	8008	21875
268	8035	21836
269	8063	21800
270	8088	21757
271	8112	21714
272	8138	21671
273	8164	21631
274	8190	21593
275	8215	21552
276	8241	21510
277	8268	21474
278	8294	21435
279	8320	21395
280	8345	21354
281	8375	21325
282	8407	21299
283	8434	21265
284	8461	21228
285	8488	21192
286	8514	21152
287	8541	21116
288	8567	21078
289	8595	21045
290	8625	21014
291	8654	20985
292	8685	20957
293	8715	20928
294	8744	20897
295	8774	20868
296	8805	20843
297	8837	20817
298	8867	20790
299	8900	20766
300	8933	20745
301	8966	20722
302	8997	20698
303	9032	20679
304	9062	20650
305	9092	20620
306	9120	20587
307	9150	20557
308	9178	20525
309	9212	20504
310	9240	20472
311	9270	20442
312	9299	20410
313	9326	20375
314	9356	20346
315	9384	20313
316	9412	20280
317	9443	20252
318	9471	20220
319	9499	20187
320	9527	20153
321	9557	20123
322	9585	20090
323	9615	20061
324	9645	20032
325	9675	20003
326	9781	20130
327	9816	20112
328	9846	20081
329	9876	20053
330	9923	20056
331	9953	20027
332	9985	20000
333	10020	19981
334	10050	19950
335	10076	19914
336	10103	19877
337	10131	19843
338	10160	19811
339	10187	19776
340	10215	19741
341	10247	19716
342	10276	19683
343	10303	19648
344	10328	19608
345	10354	19572
346	10384	19542
347	10412	19508
348	10441	19476
349	10470	19444
350	10498	19411
351	10525	19377
352	10551	19339
353	10580	19307
354	10610	19277
355	10637	19243
356	10664	19208
357	10693	19175
358	10723	19146
359	10752	19115
360	10782	19085
361	10809	19051
362	10838	19020
363	10866	18985
364	10891	18949
365	10919	18915
366	10949	18885
367	10982	18861
368	11017	18840
369	11050	18816
370	11084	18792
371	11112	18759
372	11139	18724
373	11164	18686
374	11189	18649
375	11216	18614
376	11243	18580
377	11269	18544
378	11323	18553
379	11361	18536
380	11389	18503
381	11419	18474
382	11446	18440
383	11473	18405
384	11499	18369
385	11527	18336
386	11553	18301
387	11581	18267
388	11608	18234
389	11638	18203
390	11668	18173
391	11695	18140
392	11722	18105
393	11748	18070
394	11774	18034
395	11800	17998
396	11827	17964
397	11855	17932
398	11885	17902
399	11913	17869
400	11942	17838
401	11969	17804
402	11995	17769
403	12021	17734
404	12049	17702
405	12076	17669
406	12107	17639
407	12135	17608
408	12169	17584
409	12201	17558
410	12231	17528
411	12261	17499
412	12290	17467
413	12320	17439
414	12351	17411
415	12435	17457
416	12533	17522
417	12567	17498
418	12595	17465
419	12622	17431
420	12647	17394
421	12678	17364
422	12706	17332
423	12735	17300
424	12762	17266
425	12790	17234
426	12819	17202
427	12846	17168
428	12872	17133
429	12898	17097
430	12924	17062
431	12950	17026
432	12976	16992
433	13001	16956
434	13029	16923
435	13058	16892
436	13088	16862
437	13117	16830
438	13149	16803
439	13175	16768
440	13249	16795
441	13289	16776
442	13317	16744
443	13346	16713
444	13375	16681
445	13403	16649
446	13430	16615
447	13456	16580
448	13482	16545
449	13509	16511
